unit_name,holder,holder_type,manager,acres,duration,date_est,pub_access,gap_status,corridor_town
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,1,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,1,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,1,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,1,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,1,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,1,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,2,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,2,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,1,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,1,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), McDowell, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), McDowell, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), McDowell, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Mingo, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2011,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Wyoming, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Wyoming, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Wyoming, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Wyoming, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Wyoming, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Wyoming, WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), Wyoming, WV",NRCS - Admin State WV,nrcs,NRCS,1,,2010,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Grassland Reserve Program (GRP), Grant, WV",NRCS - Admin State WV,nrcs,NRCS,67,,2008,Closed,2 - managed for biodiversity - disturbance events suppressed,Davis
"Grassland Reserve Program (GRP), Greenbrier, WV",NRCS - Admin State WV,nrcs,NRCS,190,,2008,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Grassland Reserve Program (GRP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,2,,2008,Closed,2 - managed for biodiversity - disturbance events suppressed,Davis
"Grassland Reserve Program (GRP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,4,,2008,Closed,2 - managed for biodiversity - disturbance events suppressed,Davis
"Grassland Reserve Program (GRP), Harrison, WV",NRCS - Admin State WV,nrcs,NRCS,46,,2008,Closed,2 - managed for biodiversity - disturbance events suppressed,Jenningston
"Grassland Reserve Program (GRP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,82,,2008,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Grassland Reserve Program (GRP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,43,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Grassland Reserve Program (GRP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,82,,2013,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Wetlands Reserve Program (WRP), Barbour, WV",NRCS - Admin State WV,nrcs,NRCS,80,,2000,Closed,2 - managed for biodiversity - disturbance events suppressed,Rowlesburg
"Wetlands Reserve Program (WRP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,41,,1996,Closed,2 - managed for biodiversity - disturbance events suppressed,Davis
"Wetlands Reserve Program (WRP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,63,,2000,Closed,2 - managed for biodiversity - disturbance events suppressed,Davis
"Wetlands Reserve Program (WRP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,12,,2010,Closed,2 - managed for biodiversity - disturbance events suppressed,Davis
"Wetlands Reserve Program (WRP), Clay, WV",NRCS - Admin State WV,nrcs,NRCS,3,,2004,Closed,2 - managed for biodiversity - disturbance events suppressed,Jenningston
"Wetlands Reserve Program (WRP), Grant, WV",NRCS - Admin State WV,nrcs,NRCS,2,,2014,Closed,2 - managed for biodiversity - disturbance events suppressed,Davis
"Wetlands Reserve Program (WRP), Greenbrier, WV",NRCS - Admin State WV,nrcs,NRCS,7,,2012,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Wetlands Reserve Program (WRP), Greenbrier, WV",NRCS - Admin State WV,nrcs,NRCS,17,,2015,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Wetlands Reserve Program (WRP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,4,,2000,Closed,2 - managed for biodiversity - disturbance events suppressed,Davis
"Wetlands Reserve Program (WRP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,10,,2000,Closed,2 - managed for biodiversity - disturbance events suppressed,Davis
"Wetlands Reserve Program (WRP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,16,,2003,Closed,2 - managed for biodiversity - disturbance events suppressed,Davis
"Wetlands Reserve Program (WRP), Mason, WV",NRCS - Admin State WV,nrcs,NRCS,61,,1996,Closed,2 - managed for biodiversity - disturbance events suppressed,Jenningston
"Wetlands Reserve Program (WRP), Mason, WV",NRCS - Admin State WV,nrcs,NRCS,10,,1999,Closed,2 - managed for biodiversity - disturbance events suppressed,Jenningston
"Wetlands Reserve Program (WRP), Mason, WV",NRCS - Admin State WV,nrcs,NRCS,29,,1999,Closed,2 - managed for biodiversity - disturbance events suppressed,Jenningston
"Wetlands Reserve Program (WRP), Nicholas, WV",NRCS - Admin State WV,nrcs,NRCS,46,,2004,Closed,2 - managed for biodiversity - disturbance events suppressed,Marlinton
"Wetlands Reserve Program (WRP), Nicholas, WV",NRCS - Admin State WV,nrcs,NRCS,69,,2004,Closed,2 - managed for biodiversity - disturbance events suppressed,Marlinton
"Wetlands Reserve Program (WRP), Pendleton, WV",NRCS - Admin State WV,nrcs,NRCS,1,,2011,Closed,2 - managed for biodiversity - disturbance events suppressed,Green Bank
"Wetlands Reserve Program (WRP), Pendleton, WV",NRCS - Admin State WV,nrcs,NRCS,15,,2015,Closed,2 - managed for biodiversity - disturbance events suppressed,Durbin
"Wetlands Reserve Program (WRP), Pocahontas, WV",NRCS - Admin State WV,nrcs,NRCS,15,,2000,Closed,2 - managed for biodiversity - disturbance events suppressed,Durbin
"Wetlands Reserve Program (WRP), Preston, WV",NRCS - Admin State WV,nrcs,NRCS,11,,2000,Closed,2 - managed for biodiversity - disturbance events suppressed,Albright
"Wetlands Reserve Program (WRP), Summers, WV",NRCS - Admin State WV,nrcs,NRCS,10,,2011,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
"Wetlands Reserve Program (WRP), Taylor, WV",NRCS - Admin State WV,nrcs,NRCS,9,,2003,Closed,2 - managed for biodiversity - disturbance events suppressed,Rowlesburg
"Wetlands Reserve Program (WRP), Upshur, WV",NRCS - Admin State WV,nrcs,NRCS,5,,1999,Closed,2 - managed for biodiversity - disturbance events suppressed,Jenningston
"Wetlands Reserve Program (WRP), Upshur, WV",NRCS - Admin State WV,nrcs,NRCS,9,,2004,Closed,2 - managed for biodiversity - disturbance events suppressed,Jenningston
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,1,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Other Stewardship Lands (OSL), Fayette (54019), WV",NRCS - Admin State WV,nrcs,NRCS,1,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
Appalachian National Scenic Trail,NPS,other,NPS,86,,,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
Harpers Ferry National Historical Park,NPS,other,NPS,0,,,Closed,3 - managed for multiple uses - subject to extractive (e.g. mining or logging) or OHV use,Davis
Harpers Ferry National Historical Park,NPS,other,NPS,48,,,Closed,4 - no known mandate for biodiversity protection,Davis
Gauley River National Recreation Area,NPS,other,NPS,0,,,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Crandall, George P.",USFS,usfs,USFS,5,,1973,Closed,4 - no known mandate for biodiversity protection,Durbin
"Hoss, Robert L.",USFS,usfs,USFS,6,,1973,Closed,4 - no known mandate for biodiversity protection,Durbin
"Land Of Spruce, Inc.",USFS,usfs,USFS,11,,1973,Closed,4 - no known mandate for biodiversity protection,Durbin
"Lazun, R. A.",USFS,usfs,USFS,6,,1973,Closed,4 - no known mandate for biodiversity protection,Durbin
"Mcdonnell, Edward T.",USFS,usfs,USFS,5,,1973,Closed,4 - no known mandate for biodiversity protection,Durbin
"Mullenax, Virgil",USFS,usfs,USFS,152,,1972,Closed,4 - no known mandate for biodiversity protection,Durbin
"Simpson, Charlotte",USFS,usfs,USFS,5,,1973,Closed,4 - no known mandate for biodiversity protection,Davis
"Vandevender, Halcy",USFS,usfs,USFS,25,,1971,Closed,4 - no known mandate for biodiversity protection,Durbin
"Williams, Randal S.",USFS,usfs,USFS,31,,1981,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Thomas, H. E.",USFS,usfs,USFS,13,,1982,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Page, Kenneth",USFS,usfs,USFS,13,,1981,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
USDA Forest Service 26,USFS,usfs,USFS,12,,1982,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
Harpers Ferry National Historical Park,Unknown Federal Government,other,OTHF,0,PERM,,Closed,3 - managed for multiple uses - subject to extractive (e.g. mining or logging) or OHV use,Davis
Harpers Ferry National Historical Park,Unknown Federal Government,other,OTHF,1,PERM,1979,Closed,3 - managed for multiple uses - subject to extractive (e.g. mining or logging) or OHV use,Davis
Harpers Ferry National Historical Park,Unknown Federal Government,other,OTHF,6,PERM,1977,Closed,3 - managed for multiple uses - subject to extractive (e.g. mining or logging) or OHV use,Davis
Harpers Ferry National Historical Park,Unknown Federal Government,other,OTHF,1,PERM,,Closed,4 - no known mandate for biodiversity protection,Davis
Harpers Ferry National Historical Park,Unknown Federal Government,other,OTHF,0,PERM,,Closed,4 - no known mandate for biodiversity protection,Davis
Harpers Ferry National Historical Park,Unknown Federal Government,other,OTHF,1,PERM,,Closed,4 - no known mandate for biodiversity protection,Davis
Harpers Ferry National Historical Park,Unknown Federal Government,other,OTHF,1,PERM,,Closed,4 - no known mandate for biodiversity protection,Davis
Harpers Ferry National Historical Park,Unknown Federal Government,other,OTHF,0,PERM,,Closed,4 - no known mandate for biodiversity protection,Davis
Harpers Ferry National Historical Park,Unknown Federal Government,other,OTHF,1,PERM,,Closed,4 - no known mandate for biodiversity protection,Davis
Harpers Ferry National Historical Park,Unknown Federal Government,other,OTHF,0,PERM,,Closed,4 - no known mandate for biodiversity protection,Davis
Harpers Ferry National Historical Park,Unknown Federal Government,other,OTHF,1,PERM,,Closed,4 - no known mandate for biodiversity protection,Davis
Harpers Ferry National Historical Park,Unknown Federal Government,other,OTHF,0,PERM,,Closed,4 - no known mandate for biodiversity protection,Davis
Fiddlers Bottom,"Berkeley County Farmland Protection Board, WV, Jefferson County Farmland Protection Board, WV, Land ",farmland_protection,JNT,162,PERM,2007,Closed,4 - no known mandate for biodiversity protection,Davis
Bishop,"Berkeley County Farmland Protection Board, WV, Land Trust of the Eastern Panhandle",farmland_protection,JNT,144,PERM,2005,Closed,4 - no known mandate for biodiversity protection,Davis
Needy,"Berkeley County Farmland Protection Board, WV, Land Trust of the Eastern Panhandle",farmland_protection,JNT,27,PERM,2008,Closed,4 - no known mandate for biodiversity protection,Davis
Stanley,"Berkeley County Farmland Protection Board, WV, Land Trust of the Eastern Panhandle",farmland_protection,JNT,89,PERM,2008,Closed,4 - no known mandate for biodiversity protection,Davis
